"","BZ=F.Adjusted"
"958",112.730003356934
"959",109.98999786377
"960",112.300003051758
"961",111.419998168945
"962",112.389999389648
"963",110.099998474121
"964",112.529998779297
"965",114.930000305176
"966",115.050003051758
"967",115.029998779297
"968",116.730003356934
"969",114.529998779297
"970",115.540000915527
"971",115.839996337891
"972",114.480003356934
"973",116.779998779297
"974",117.849998474121
"975",119.569999694824
"976",118.779998779297
"977",119.099998474121
"978",120.160003662109
"979",117.099998474121
"980",114.019996643066
"981",113.209999084473
"982",111.690002441406
"983",110.949996948242
"984",114.209999084473
"985",107.26000213623
"986",105.120002746582
"987",105.98999786377
"988",108.779998779297
"989",112.400001525879
"990",112.480003356934
"991",111.769996643066
"992",NA
"993",113.620002746582
"994",118.589996337891
"995",118.330001831055
"996",117.23999786377
"997",117.75
"998",NA
"999",118.319999694824
"1000",117.26000213623
"1001",116.050003051758
"1002",NA
"1003",118.150001525879
"1004",117.51000213623
"1005",118.669998168945
"1006",117.940002441406
"1007",118.279998779297
"1008",117.430000305176
"1009",117.360000610352
"1010",116.73999786377
"1011",116.809997558594
"1012",116.459999084473
"1013",113.230003356934
"1014",107.25
"1015",109.370002746582
"1016",103.73999786377
"1017",102.569999694824
"1018",106.680000305176
"1019",108.019996643066
"1020",108.029998779297
"1021",109.910003662109
"1022",NA
"1023",110.599998474121
"1024",106.98999786377
"1025",108.620002746582
"1026",108.360000610352
"1027",109.309997558594
"1028",110.150001525879
"1029",NA
"1030",111.360000610352
"1031",111.879997253418
"1032",114.019996643066
"1033",114.849998474121
"1034",114.290000915527
"1035",112.330001831055
"1036",112.889999389648
"1037",115.800003051758
"1038",114.550003051758
"1039",112.769996643066
"1040",112.25
"1041",111.889999389648
"1042",112.400001525879
"1043",115.339996337891
"1044",112.220001220703
"1045",109.139999389648
"1046",110.540000915527
"1047",110.360000610352
"1048",105.48999786377
"1049",103.970001220703
"1050",NA
"1051",107.139999389648
"1052",103.809997558594
"1053",103.949996948242
"1054",102.76000213623
"1055",101.709999084473
"1056",99.7900009155273
"1057",NA
"1058",105.730003356934
"1059",105.879997253418
"1060",108.949996948242
"1061",110.730003356934
"1062",111.360000610352
"1063",111.110000610352
"1064",114.680000305176
"1065",110.160003662109
"1066",111.150001525879
"1067",108.389999389648
"1068",109.76000213623
"1069",109.559997558594
"1070",111.449996948242
"1071",110.919998168945
"1072",108.910003662109
"1073",112.080001831055
"1074",109.910003662109
"1075",109.559997558594
"1076",109.540000915527
"1077",109.339996337891
"1078",110.830001831055
"1079",111.970001220703
"1080",114.559997558594
"1081",115
"1082",112.309997558594
"1083",113.709999084473
"1084",114.160003662109
"1085",111.889999389648
"1086",112.389999389648
"1087",111.879997253418
"1088",108.220001220703
"1089",107.559997558594
"1090",NA
"1091",109.029998779297
"1092",107.019996643066
"1093",106.400001525879
"1094",109
"1095",110.819999694824
"1096",NA
"1097",108.98999786377
"1098",109.940002441406
"1099",109.809997558594
"1100",110.809997558594
"1101",109.529998779297
"1102",108.110000610352
"1103",108.620002746582
"1104",107.26000213623
"1105",109.5
"1106",105.019996643066
"1107",105.089996337891
"1108",103.349998474121
"1109",103.639999389648
"1110",106.730003356934
"1111",107.709999084473
"1112",107.889999389648
"1113",107.959999084473
"1114",109.269996643066
"1115",107.559997558594
"1116",108.01000213623
"1117",107.379997253418
"1118",112.129997253418
"1119",113.699996948242
"1120",112.73999786377
"1121",113.059997558594
"1122",112.449996948242
"1123",113.279998779297
"1124",112.23999786377
"1125",111.26000213623
"1126",110.440002441406
"1127",111.529998779297
"1128",110.660003662109
"1129",111.550003051758
"1130",109.860000610352
"1131",110.580001831055
"1132",110.029998779297
"1133",109.809997558594
"1134",110.790000915527
"1135",111.459999084473
"1136",110.75
"1137",110.980003356934
"1138",111.559997558594
"1139",112.069999694824
"1140",114.580001831055
"1141",115.930000305176
"1142",116.230003356934
"1143",117.199996948242
"1144",118.589996337891
"1145",117.309997558594
"1146",117.930000305176
"1147",118.160003662109
"1148",118.930000305176
"1149",120.110000610352
"1150",119.580001831055
"1151",121.660003662109
"1152",122.900001525879
"1153",123.620002746582
"1154",125.470001220703
"1155",124.169998168945
"1156",121.550003051758
"1157",122.660003662109
"1158",126.199996948242
"1159",123.650001525879
"1160",123.800003051758
"1161",121.980003356934
"1162",124.120002746582
"1163",125.440002441406
"1164",125.980003356934
"1165",125.339996337891
"1166",126.220001220703
"1167",124.970001220703
"1168",123.550003051758
"1169",125.809997558594
"1170",125.709999084473
"1171",124.120002746582
"1172",124.199996948242
"1173",123.139999389648
"1174",125.129997253418
"1175",125.650001525879
"1176",125.540000915527
"1177",124.160003662109
"1178",122.389999389648
"1179",122.879997253418
"1180",125.430000305176
"1181",124.860000610352
"1182",122.339996337891
"1183",123.430000305176
"1184",122.669998168945
"1185",119.879997253418
"1186",120.180000305176
"1187",121.709999084473
"1188",121.830001831055
"1189",118.680000305176
"1190",118.779998779297
"1191",117.970001220703
"1192",118
"1193",118.76000213623
"1194",118.709999084473
"1195",118.160003662109
"1196",119.120002746582
"1197",119.919998168945
"1198",119.830001831055
"1199",119.470001220703
"1200",119.660003662109
"1201",118.199996948242
"1202",116.080001831055
"1203",113.180000305176
"1204",113.160003662109
"1205",112.730003356934
"1206",113.199996948242
"1207",112.730003356934
"1208",112.26000213623
"1209",111.569999694824
"1210",112.23999786377
"1211",111.709999084473
"1212",107.48999786377
"1213",107.139999389648
"1214",108.809997558594
"1215",108.410003662109
"1216",105.559997558594
"1217",106.550003051758
"1218",106.830001831055
"1219",106.680000305176
"1220",103.470001220703
"1221",101.870002746582
"1222",98.4300003051758
"1223",98.8499984741211
"1224",98.8399963378906
"1225",100.639999389648
"1226",99.9300003051758
"1227",99.4700012207031
"1228",98
"1229",97.1399993896484
"1230",97.129997253418
"1231",97.0299987792969
"1232",97.6100006103516
"1233",96.0500030517578
"1234",95.7600021362305
"1235",92.6900024414062
"1236",89.2300033569336
"1237",90.9800033569336
"1238",91.0100021362305
"1239",93.0199966430664
"1240",93.5
"1241",91.3600006103516
"1242",97.8000030517578
"1243",97.3399963378906
"1244",100.680000305176
"1245",100.699996948242
"1246",98.1900024414062
"1247",100.319999694824
"1248",97.9700012207031
"1249",100.230003356934
"1250",101.069999694824
"1251",102.400001525879
"1252",103.550003051758
"1253",104
"1254",105.160003662109
"1255",107.800003051758
"1256",106.830001831055
"1257",103.26000213623
"1258",103.419998168945
"1259",104.379997253418
"1260",105.26000213623
"1261",106.470001220703
"1262",106.199996948242
"1263",104.919998168945
"1264",105.959999084473
"1265",105.900001525879
"1266",108.940002441406
"1267",109.550003051758
"1268",112
"1269",112.139999389648
"1270",113.220001220703
"1271",112.949996948242
"1272",113.599998474121
"1273",114.029998779297
"1274",116.25
"1275",116.900001525879
"1276",113.709999084473
"1277",113.699996948242
"1278",114.639999389648
"1279",114.910003662109
"1280",115.01000213623
"1281",113.589996337891
"1282",112.26000213623
"1283",112.580001831055
"1284",112.540000915527
"1285",112.650001525879
"1286",114.569999694824
"1287",114.180000305176
"1288",113.089996337891
"1289",113.48999786377
"1290",114.25
"1291",114.809997558594
"1292",115.400001525879
"1293",115.959999084473
"1294",116.900001525879
"1295",NA
"1296",NA
"1297",112.029998779297
"1298",108.190002441406
"1299",110.029998779297
"1300",111.419998168945
"1301",109.809997558594
"1302",110.449996948242
"1303",110.040000915527
"1304",112.01000213623
"1305",112.389999389648
"1306",112.190002441406
"1307",111.569999694824
"1308",108.169998168945
"1309",112.580001831055
"1310",112.019996643066
"1311",111.819999694824
"1312",114.5
"1313",114.330001831055
"1314",115.709999084473
"1315",114.620002746582
"1316",115.800003051758
"1317",115.069999694824
"1318",NA
"1319",NA
"1320",110.139999389648
"1321",109.440002441406
"1322",108.25
"1323",107.849998474121
"1324",108.48999786377
"1325",109.550003051758
"1326",108.699996948242
"1327",108.169998168945
"1328",105.680000305176
"1329",107.730003356934
"1330",111.069999694824
"1331",106.819999694824
"1332",107.25
"1333",109.400001525879
"1334",109.069999694824
