"","GSPC.Adjusted"
"340",1397.68005371094
"341",1388.28002929688
"342",1403.57995605469
"343",1403.0400390625
"344",1408.66003417969
"345",1423.56994628906
"346",1425.34997558594
"347",1426.63000488281
"348",1413.40002441406
"349",1390.7099609375
"350",1394.34997558594
"351",1375.93005371094
"352",1385.34997558594
"353",1390.83996582031
"354",1398.26000976562
"355",1400.38000488281
"356",1385.67004394531
"357",1377.65002441406
"358",1377.19995117188
"359",1404.05004882812
"360",1360.68005371094
"361",1361.76000976562
"362",1358.43994140625
"363",1335.48999023438
"364",1339.86999511719
"365",1360.03002929688
"366",1360.14001464844
"367",1350.93005371094
"368",1337.81005859375
"369",1342.82995605469
"370",1317.93005371094
"371",1318
"372",1314.2900390625
"373",1321.96997070312
"374",1283.15002441406
"375",1278.38000488281
"376",1280
"377",1284.91003417969
"378",1261.52001953125
"379",1262.90002441406
"380",1252.31005859375
"381",1273.69995117188
"382",1244.68994140625
"383",1253.39001464844
"384",1239.48999023438
"385",1228.30004882812
"386",1214.91003417969
"387",1245.35998535156
"388",1260.31994628906
"389",1260.68005371094
"390",1260
"391",1277
"392",1282.18994140625
"393",1252.5400390625
"394",1257.76000976562
"395",1234.36999511719
"396",1263.19995117188
"397",1284.26000976562
"398",1267.38000488281
"399",1260.31005859375
"400",1249.01000976562
"401",1284.88000488281
"402",1289.18994140625
"403",1266.06994628906
"404",1296.31994628906
"405",1305.31994628906
"406",1289.58996582031
"407",1285.82995605469
"408",1292.93005371094
"409",1298.19995117188
"410",1278.59997558594
"411",1266.68994140625
"412",1274.5400390625
"413",1277.71997070312
"414",1292.19995117188
"415",1266.83996582031
"416",1271.51000976562
"417",1281.66003417969
"418",1300.68005371094
"419",1282.82995605469
"420",1277.57995605469
"421",1274.97998046875
"422",1236.82995605469
"423",1242.31005859375
"424",1267.7900390625
"425",1224.51000976562
"426",1232.0400390625
"427",1249.05004882812
"428",1251.69995117188
"429",1192.69995117188
"430",1213.59997558594
"431",1156.39001464844
"432",1206.51000976562
"433",1255.07995605469
"434",1207.08996582031
"435",1188.21997070312
"436",1185.86999511719
"437",1209.18005371094
"438",1213.27001953125
"439",1106.42004394531
"440",1166.35998535156
"441",1161.06005859375
"442",1114.28002929688
"443",1099.22998046875
"444",1056.89001464844
"445",996.22998046875
"446",984.940002441406
"447",909.919982910156
"448",899.219970703125
"449",1003.34997558594
"450",998.010009765625
"451",907.840026855469
"452",946.429992675781
"453",940.549987792969
"454",985.400024414062
"455",955.049987792969
"456",896.780029296875
"457",908.109985351562
"458",876.77001953125
"459",848.919982910156
"460",940.510009765625
"461",930.090026855469
"462",954.090026855469
"463",968.75
"464",966.299987792969
"465",1005.75
"466",952.77001953125
"467",904.880004882812
"468",930.989990234375
"469",919.210021972656
"470",898.950012207031
"471",852.299987792969
"472",911.289978027344
"473",873.289978027344
"474",850.75
"475",859.119995117188
"476",806.580017089844
"477",752.440002441406
"478",800.030029296875
"479",851.809997558594
"480",857.390014648438
"481",887.679992675781
"482",896.239990234375
"483",816.210021972656
"484",848.809997558594
"485",870.739990234375
"486",845.219970703125
"487",876.070007324219
"488",909.700012207031
"489",888.669982910156
"490",899.239990234375
"491",873.590026855469
"492",879.72998046875
"493",868.570007324219
"494",913.179992675781
"495",904.419982910156
"496",885.280029296875
"497",887.880004882812
"498",871.630004882812
"499",863.159973144531
"500",868.150024414062
"501",872.799987792969
"502",869.419982910156
"503",890.640014648438
"504",903.25
"505",931.799987792969
"506",927.450012207031
"507",934.700012207031
"508",906.650024414062
"509",909.72998046875
"510",890.349975585938
"511",870.260009765625
"512",871.789978027344
"513",842.619995117188
"514",843.739990234375
"515",850.119995117188
"516",805.219970703125
"517",840.239990234375
