"","CL=F.Adjusted"
"1",61.0499992370605
"2",58.3199996948242
"3",55.5900001525879
"4",56.310001373291
"5",56.0900001525879
"6",55.6399993896484
"7",54.0200004577637
"8",51.8800010681152
"9",52.9900016784668
"10",NA
"11",51.2099990844727
"12",52.2400016784668
"13",50.4799995422363
"14",51.9900016784668
"15",51.1300010681152
"16",55.0400009155273
"17",55.3699989318848
"18",54.2299995422363
"19",55.4199981689453
"20",54.0099983215332
"21",56.9700012207031
"22",58.1399993896484
"23",57.2999992370605
"24",59.0200004577637
"25",58.7400016784668
"26",58.8800010681152
"27",57.7099990844727
"28",59.7099990844727
"29",59.8899993896484
"30",57.810001373291
"31",59.060001373291
"32",58
"33",57.9900016784668
"34",59.3899993896484
"35",58.0699996948242
"36",60.0699996948242
"37",60.9500007629395
"38",61.1399993896484
"39",61.3899993896484
"40",61.4599990844727
"41",61.7900009155273
"42",62
"43",61.6399993896484
"44",60.0699996948242
"45",60.689998626709
"46",61.8199996948242
"47",61.6399993896484
"48",60.0499992370605
"49",58.9099998474121
"50",57.9300003051758
"51",58.1599998474121
"52",57.5499992370605
"53",57.1100006103516
"54",56.5900001525879
"55",56.7299995422363
"56",59.6100006103516
"57",61.689998626709
"58",62.2799987792969
"59",62.9099998474121
"60",62.9300003051758
"61",64.0800018310547
"62",66.0299987792969
"63",65.870002746582
"64",65.9400024414062
"65",64.6399993896484
"66",64.379997253418
"67",64.2799987792969
"68",61.5099983215332
"69",61.8899993896484
"70",62.0099983215332
"71",63.8499984741211
"72",63.6300010681152
"73",63.6100006103516
"74",63.0999984741211
"75",63.1300010681152
"76",61.8300018310547
"77",63.3800010681152
"78",65.8899993896484
"79",64.5800018310547
"80",65.8399963378906
"81",65.0599975585938
"82",66.4599990844727
"83",65.7099990844727
"84",64.4000015258789
"85",63.6800003051758
"86",63.189998626709
"87",61.9300003051758
"88",61.4700012207031
"89",62.2599983215332
"90",61.5499992370605
"91",61.810001373291
"92",62.3699989318848
"93",62.4599990844727
"94",63.1699981689453
"95",62.5499992370605
"96",64.8600006103516
"97",64.9400024414062
"98",66.2699966430664
"99",64.9700012207031
"100",65.7699966430664
"101",64.1800003051758
"102",65.1999969482422
"103",63.1500015258789
"104",63.4900016784668
"105",64.0100021362305
"106",65.0800018310547
"107",66.2099990844727
"108",65.6100006103516
"109",65.9599990844727
"110",66.9300003051758
"111",64.7600021362305
"112",65.9700012207031
"113",65.3499984741211
"114",66.2600021362305
"115",67.6500015258789
"116",68
"117",69.0899963378906
"118",69.0999984741211
"119",68.1900024414062
"120",68.6500015258789
"121",69.1399993896484
"122",69.1800003051758
"123",67.7699966430664
"124",68.9700012207031
"125",69.5699996948242
"126",70.6800003051758
"127",71.0899963378906
"128",71.4100036621094
"129",71.8099975585938
"130",72.8099975585938
"131",72.1900024414062
"132",72.8099975585938
"133",72.5599975585938
"134",72.5
"135",73.9300003051758
"136",74.1500015258789
"137",74.0199966430664
"138",75.0500030517578
"139",75.9199981689453
"140",75.5699996948242
"141",74.8899993896484
"142",73.5599975585938
"143",75.879997253418
"144",74.9499969482422
"145",77.0199966430664
"146",76.8300018310547
"147",78.2099990844727
"148",76.5299987792969
"149",76.8600006103516
"150",75.4800033569336
"151",72.0599975585938
"152",72.4199981689453
"153",72.1500015258789
"154",71.5899963378906
"155",71.4700012207031
"156",71.620002746582
"157",72.379997253418
"158",73.3300018310547
"159",71
"160",71.9800033569336
"161",71.120002746582
"162",69.4700012207031
"163",69.2600021362305
"164",69.8300018310547
"165",71.0899963378906
"166",71.9700012207031
"167",71.7300033569336
"168",73.5100021362305
"169",73.3600006103516
"170",74.0400009155273
"171",75.0800018310547
"172",75.7300033569336
"173",76.3000030517578
"174",76.6999969482422
"175",77.4899978637695
"176",78.2300033569336
"177",79.9100036621094
"178",80.0899963378906
"179",79.0999984741211
"180",80.5699996948242
"181",81.5100021362305
"182",81.9300003051758
"183",83.3199996948242
"184",81.620002746582
"185",80.9499969482422
"186",79.5299987792969
"187",80.3000030517578
"188",82.879997253418
"189",81.6600036621094
"190",80.2399978637695
"191",80.0500030517578
"192",79.9400024414062
"193",81.4400024414062
"194",81.2200012207031
"195",79.0199966430664
"196",80.2600021362305
"197",81.3000030517578
"198",83.0800018310547
"199",83.6900024414062
"200",86.129997253418
"201",87.6100006103516
"202",87.4000015258789
"203",89.4700012207031
"204",88.5999984741211
"205",87.5599975585938
"206",85.2699966430664
"207",87.0999984741211
"208",90.4599990844727
"209",91.8600006103516
"210",93.5299987792969
"211",90.379997253418
"212",94.5299987792969
"213",93.4899978637695
"214",95.9300003051758
"215",93.9800033569336
"216",96.6999969482422
"217",96.370002746582
"218",95.4599990844727
"219",96.3199996948242
"220",94.620002746582
"221",91.1699981689453
"222",94.0899963378906
"223",93.4300003051758
"224",95.0999984741211
"225",94.6399993896484
"226",98.0299987792969
"227",97.2900009155273
"228",98.1800003051758
"229",97.6999969482422
"230",94.4199981689453
"231",90.620002746582
"232",91.0100021362305
"233",88.7099990844727
"234",89.3099975585938
"235",88.3199996948242
"236",87.4899978637695
"237",90.2300033569336
"238",88.2799987792969
"239",87.8600006103516
"240",90.0199966430664
"241",94.3899993896484
"242",92.25
"243",91.2699966430664
"244",90.629997253418
"245",90.4899978637695
"246",91.2399978637695
"247",91.0599975585938
"248",93.3099975585938
"249",94.129997253418
"250",95.9700012207031
"251",96.620002746582
"252",96
"253",95.9800033569336
"254",99.620002746582
"255",99.1800003051758
"256",97.9100036621094
"257",95.0899963378906
"258",96.3300018310547
"259",95.6699981689453
"260",93.7099990844727
"261",92.6900024414062
"262",94.1999969482422
"263",91.9000015258789
"264",90.8399963378906
"265",90.129997253418
"266",90.5699996948242
"267",89.8499984741211
"268",86.9899978637695
"269",89.4100036621094
"270",90.7099990844727
"271",90.9899978637695
"272",91.6399993896484
"273",92.3300018310547
"274",91.75
"275",88.9599990844727
"276",90.0199966430664
"277",88.4100036621094
"278",87.1399993896484
"279",88.1100006103516
"280",91.7699966430664
"281",93.5899963378906
"282",92.7799987792969
"283",93.2699966430664
"284",95.4599990844727
"285",95.5
"286",100.01000213623
"287",100.73999786377
"288",98.2300033569336
"289",98.8099975585938
"290",99.2300033569336
"291",100.879997253418
"292",99.6399993896484
"293",102.589996337891
"294",101.839996337891
"295",102.449996948242
"296",99.5199966430664
"297",104.519996643066
"298",105.470001220703
"299",105.150001525879
"300",107.900001525879
"301",108.75
"302",109.919998168945
"303",110.330001831055
"304",110.209999084473
"305",105.680000305176
