"","BTC-USD.Adjusted"
"218",234.175994873047
"219",236.462005615234
"220",231.268005371094
"221",226.389999389648
"222",219.429992675781
"223",229.285995483398
"224",225.854995727539
"225",225.807998657227
"226",236.145004272461
"227",232.078994750977
"228",234.929992675781
"229",240.358001708984
"230",239.018005371094
"231",236.121002197266
"232",229.781997680664
"233",237.333999633789
"234",243.863006591797
"235",241.832000732422
"236",240.296005249023
"237",242.158004760742
"238",241.111999511719
"239",236.376998901367
"240",236.929000854492
"241",237.604995727539
"242",236.15299987793
"243",236.802001953125
"244",233.128005981445
"245",231.947006225586
"246",234.018005371094
"247",235.343994140625
"248",240.348007202148
"249",238.871994018555
"250",240.953002929688
"251",237.110000610352
"252",237.115997314453
"253",237.283004760742
"254",237.408004760742
"255",237.095993041992
"256",233.345001220703
"257",230.190002441406
"258",222.925994873047
"259",225.802993774414
"260",225.873992919922
"261",224.324005126953
"262",224.951995849609
"263",225.619003295898
"264",222.880996704102
"265",228.488998413086
"266",229.048004150391
"267",228.802993774414
"268",229.705001831055
"269",229.981994628906
"270",232.401992797852
"271",233.542999267578
"272",236.822998046875
"273",250.895004272461
"274",249.283996582031
"275",249.00700378418
"276",244.606002807617
"277",245.212005615234
"278",243.944000244141
"279",246.990005493164
"280",244.296005249023
"281",240.514999389648
"282",242.79899597168
"283",243.593994140625
"284",250.990005493164
"285",249.011001586914
"286",257.063995361328
"287",263.071990966797
"288",258.621002197266
"289",255.412002563477
"290",256.335998535156
"291",260.885986328125
"292",271.912994384766
"293",269.029998779297
"294",266.207000732422
"295",270.785003662109
"296",269.227996826172
"297",284.894012451172
"298",293.114990234375
"299",310.867004394531
"300",292.053985595703
"301",287.463989257812
"302",285.829010009766
"303",278.088989257812
"304",279.471984863281
"305",274.901000976562
"306",273.614013671875
"307",278.980987548828
"308",275.8330078125
"309",277.221984863281
"310",276.049011230469
"311",288.278015136719
"312",288.696990966797
"313",292.686004638672
"314",293.623992919922
"315",294.427001953125
"316",289.589996337891
"317",287.721984863281
"318",284.649993896484
"319",281.601013183594
"320",282.614013671875
"321",281.226989746094
"322",285.217987060547
"323",281.881988525391
"324",278.576995849609
"325",279.584991455078
"326",260.997009277344
"327",265.0830078125
"328",264.470001220703
"329",270.385986328125
"330",266.376007080078
"331",264.079986572266
"332",265.679992675781
"333",261.550994873047
"334",258.506988525391
"335",257.976013183594
"336",211.078994750977
"337",226.684005737305
"338",235.350006103516
"339",232.569000244141
"340",230.389999389648
"341",228.169006347656
"342",210.494995117188
"343",221.608993530273
"344",225.830993652344
"345",224.768997192383
"346",231.39599609375
"347",229.779998779297
"348",228.761001586914
"349",230.055999755859
"350",228.121002197266
"351",229.283996582031
"352",227.182998657227
"353",230.298004150391
"354",235.018997192383
"355",239.839996337891
"356",239.84700012207
"357",243.606994628906
"358",238.167999267578
"359",238.477005004883
"360",240.106994628906
"361",235.22900390625
"362",230.511993408203
"363",230.643997192383
"364",230.304000854492
